,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,51,30,22,7,1,81,21,60,a
2,,Benfica,51,30,21,9,0,56,11,45,a
3,,Sporting,42,30,19,4,7,63,30,33,a
4,,SC Braga,38,30,16,6,8,42,27,15,a
5,,Belenenses,36,30,14,8,8,25,21,4,a
6,,V. Guimarães,31,30,12,7,11,33,28,5,a
7,,Boavista,28,30,10,8,12,36,38,-2,a
8,,Académica OAF,26,30,11,4,15,41,49,-8,a
9,,V. Setúbal,26,30,8,10,12,29,40,-11,a
10,,Varzim,25,30,9,7,14,26,38,-12,a
11,,Estoril Praia,25,30,8,9,13,25,36,-11,a
12,,Marítimo,23,30,8,7,15,22,45,-23,a
13,,Portimonense,23,30,8,7,15,29,39,-10,a
14,,SC Espinho,22,30,8,6,16,30,52,-22,a
15,,Riopele,21,30,6,9,15,23,51,-28,a
16,,Feirense,12,30,5,2,23,24,59,-35,a
