,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,51,30,23,5,2,67,24,43,a
2,,Sporting,42,30,17,8,5,59,26,33,a
3,,FC Porto,41,30,18,5,7,72,27,45,a
4,,Boavista,34,30,13,8,9,41,33,8,a
5,,Académica OAF,34,30,14,6,10,29,25,4,a
6,,V. Setúbal,32,30,13,6,11,47,46,1,a
7,,Varzim,31,30,10,11,9,36,36,0,a
8,,SC Braga,29,30,10,9,11,36,36,0,a
9,,V. Guimarães,26,30,10,6,14,39,38,1,a
10,,Belenenses,26,30,7,12,11,29,40,-11,a
11,,Estoril Praia,25,30,6,13,11,26,36,-10,a
12,,Portimonense,25,30,8,9,13,34,46,-12,a
13,,Leixões,23,30,4,15,11,15,31,-16,a
14,,Montijo,23,30,7,9,14,30,47,-17,a
15,,Beira-Mar,23,30,7,9,14,33,57,-24,a
16,,Atlético CP,15,30,3,9,18,23,68,-45,a
