,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,48,26,23,2,1,81,25,56,a
2,,FC Porto,42,26,19,4,3,61,24,37,a
3,,Sporting,38,26,18,2,6,71,31,40,a
4,,Belenenses,36,26,16,4,6,47,30,17,a
5,,Leixões,30,26,10,10,6,34,33,1,a
6,,V. Guimarães,27,26,12,3,11,47,43,4,a
7,,Lusit. Évora,23,26,9,5,12,33,41,-8,a
8,,Olhanense,21,26,7,7,12,29,38,-9,a
9,,V. Setúbal,20,26,6,8,12,33,39,-6,a
10,,Académica OAF,19,26,8,3,15,49,50,-1,a
11,,Barreirense,18,26,5,8,13,20,56,-36,a
12,,CUF,18,26,6,6,14,37,40,-3,a
13,,Atlético CP,17,26,8,1,17,33,65,-32,a
14,,Feirense,7,26,3,1,22,21,81,-60,a
