,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,70,30,21,7,2,61,18,43,a
2,,Sporting,66,30,20,6,4,45,20,25,a
3,,Benfica,59,30,17,8,5,54,32,22,a
4,,Nacional,52,30,15,7,8,47,32,15,a
5,,SC Braga,50,30,13,11,6,38,21,17,a
6,,Leixões,45,30,12,9,9,30,31,-1,a
7,,Académica OAF,39,30,10,9,11,28,32,-4,a
8,,V. Guimarães,38,30,10,8,12,32,36,-4,a
9,,Marítimo,37,30,9,10,11,35,36,-1,a
10,,Paços de Ferreira,34,30,9,7,14,37,42,-5,a
11,,Est. Amadora,31,30,8,10,12,26,38,-12,a
12,,Rio Ave,30,30,8,6,16,20,35,-15,a
13,,Naval,29,30,7,8,15,25,39,-14,a
14,,V. Setúbal,26,30,7,5,18,21,46,-25,a
15,,Belenenses,24,30,5,9,16,28,52,-24,a
16,,Trofense,23,30,5,8,17,25,42,-17,a
