,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,84,34,26,6,2,84,20,64,a
2,,Benfica,73,34,22,7,5,58,27,31,a
3,,Sporting,67,34,19,10,5,69,27,42,a
4,,Boavista,65,34,19,8,7,58,28,30,a
5,,V. Guimarães,62,34,19,5,10,55,39,16,a
6,,Belenenses,51,34,14,9,11,53,33,20,a
7,,UD Leiria,47,34,14,5,15,38,50,-12,a
8,,SC Braga,45,34,12,9,13,44,47,-3,a
9,,Marítimo,43,34,12,7,15,39,53,-14,a
10,,Farense,36,34,10,6,18,36,45,-9,a
11,,SC Salgueiros,36,34,7,15,12,39,49,-10,a
12,,Gil Vicente,36,34,9,9,16,31,49,-18,a
13,,Est. Amadora,35,34,7,14,13,35,50,-15,a
14,,GD Chaves,34,34,9,7,18,38,56,-18,a
15,,Leça FC,34,34,9,7,18,29,55,-26,a
16,,FC Felgueiras,33,34,8,9,17,29,47,-18,a
17,,Campomaiorense,33,34,10,3,21,32,69,-37,a
18,,Tirsense,31,34,7,10,17,30,53,-23,a
