,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,22,14,10,2,2,43,19,24,a
2,,Sporting,20,14,8,4,2,39,20,19,a
3,,Benfica,19,14,8,3,3,41,23,18,a
4,,Belenenses,18,14,8,2,4,45,20,25,a
5,,V. Setúbal,16,14,7,2,5,26,24,2,a
6,,União Lisboa,8,14,3,2,9,30,49,-19,a
7,,Académico FC,6,14,2,2,10,20,54,-34,a
8,,Académica OAF,3,14,1,1,12,14,49,-35,a
