,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,39,26,16,7,3,49,17,32,a
2,,FC Porto,37,26,15,7,4,39,23,16,a
3,,V. Guimarães,36,26,13,10,3,46,17,29,a
4,,V. Setúbal,35,26,13,9,4,45,20,25,a
5,,Sporting,30,26,11,8,7,35,20,15,a
6,,Académica OAF,30,26,12,6,8,48,32,16,a
7,,CUF,27,26,8,11,7,32,30,2,a
8,,Belenenses,26,26,8,10,8,31,33,-2,a
9,,Varzim,22,26,7,8,11,32,49,-17,a
10,,U. Tomar,21,26,7,7,12,27,47,-20,a
11,,Leixões,21,26,7,7,12,21,30,-9,a
12,,SC Braga,19,26,6,7,13,20,47,-27,a
13,,Atlético CP,12,26,5,2,19,26,49,-23,a
14,,Sanjoanense,9,26,3,3,20,15,52,-37,a
