,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,55,30,26,3,1,81,16,65,a
2,,V. Setúbal,45,30,17,11,2,62,16,46,a
3,,Sporting,43,30,17,9,4,51,26,25,a
4,,CUF,37,30,12,13,5,43,28,15,a
5,,FC Porto,33,30,13,7,10,51,32,19,a
6,,V. Guimarães,30,30,11,8,11,49,47,2,a
7,,Belenenses,29,30,11,7,12,35,33,2,a
8,,Barreirense,27,30,11,5,14,34,46,-12,a
9,,Farense,25,30,9,7,14,34,48,-14,a
10,,Atlético CP,25,30,8,9,13,35,52,-17,a
11,,Boavista,24,30,7,10,13,28,46,-18,a
12,,U. Tomar,23,30,9,5,16,25,42,-17,a
13,,Beira-Mar,23,30,7,9,14,29,51,-22,a
14,,Leixões,21,30,7,7,16,26,51,-25,a
15,,Académica OAF,21,30,7,7,16,29,38,-9,a
16,,Tirsense,19,30,6,7,17,26,66,-40,a
