,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,34,18,17,0,1,76,21,55,a
2,,Sporting,32,18,15,2,1,87,23,64,a
3,,Belenenses,25,18,11,3,4,58,21,37,a
4,,Benfica,23,18,11,1,6,58,34,24,a
5,,Barreirense,19,18,8,3,7,27,39,-12,a
6,,Académica OAF,17,18,7,3,8,42,54,-12,a
7,,Carcavelinhos,10,18,4,2,12,26,49,-23,a
8,,Académico FC,8,18,3,2,13,24,53,-29,a
9,,Leixões,7,18,1,5,12,26,70,-44,a
10,,V. Setúbal,5,18,1,3,14,7,67,-60,a
