,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,86,34,27,5,2,73,26,47,a
2,,Benfica,75,34,23,6,5,74,27,47,a
3,,Sporting,59,34,17,8,9,52,38,14,a
4,,V. Guimarães,50,34,14,8,12,47,46,1,a
5,,UD Leiria,49,34,13,10,11,49,47,2,a
6,,Paços de Ferreira,45,34,12,9,13,40,47,-7,a
7,,Marítimo,44,34,13,5,16,36,48,-12,a
8,,Gil Vicente,44,34,13,5,16,42,53,-11,a
9,,Belenenses,43,34,11,10,13,47,48,-1,a
10,,Boavista,43,34,10,13,11,32,31,1,a
11,,Nacional,40,34,9,13,12,40,46,-6,a
12,,Moreirense,39,34,9,12,13,42,46,-4,a
13,,Beira-Mar,39,34,10,9,15,43,50,-7,a
14,,SC Braga,38,34,8,14,12,34,47,-13,a
15,,Académica OAF,37,34,8,13,13,38,48,-10,a
16,,Varzim,36,34,10,6,18,38,51,-13,a
17,,Santa Clara,35,34,8,11,15,39,54,-15,a
18,,V. Setúbal,31,34,6,13,15,40,53,-13,a
