,,,P,J,V,E,D,GM,GS,DG,
1,,FC Porto,82,34,26,4,4,74,22,52,a
2,,Benfica,77,34,24,5,5,71,26,45,a
3,,SC Braga,60,34,18,6,10,61,40,21,a
4,,Sporting,60,34,18,6,10,49,34,15,a
5,,Rio Ave,55,34,15,10,9,48,36,12,a
6,,FC Famalicão,54,34,14,12,8,53,51,2,a
7,,V. Guimarães,50,34,13,11,10,53,38,15,a
8,,Moreirense,43,34,10,13,11,42,44,-2,a
9,,Santa Clara,43,34,11,10,13,36,41,-5,a
10,,Gil Vicente,43,34,11,10,13,40,44,-4,a
11,,Marítimo,39,34,9,12,13,34,42,-8,a
12,,Boavista,39,34,10,9,15,28,39,-11,a
13,,Paços de Ferreira,39,34,11,6,17,36,52,-16,a
14,,CD Tondela,36,34,9,9,16,30,44,-14,a
15,,Belenenses SAD,35,34,9,8,17,27,54,-27,a
16,,V. Setúbal,34,34,7,13,14,27,43,-16,a
17,,Portimonense,33,34,7,12,15,30,45,-15,a
18,,CD Aves,17,34,5,2,27,24,68,-44,a
