,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,42,26,20,2,4,100,35,65,a
2,,Benfica,37,26,17,3,6,72,34,38,a
3,,Belenenses,35,26,16,3,7,68,36,32,a
4,,FC Porto,33,26,16,1,9,55,37,18,a
5,,Estoril Praia,29,26,12,5,9,76,54,22,a
6,,V. Guimarães,26,26,11,4,11,47,50,-3,a
7,,Olhanense,24,26,10,4,12,51,55,-4,a
8,,SC Braga,24,26,11,2,13,39,54,-15,a
9,,O Elvas,21,26,7,7,12,46,61,-15,a
10,,Atlético CP,21,26,8,5,13,44,68,-24,a
11,,SC Covilhã,20,26,9,2,15,50,59,-9,a
12,,V. Setúbal,20,26,8,4,14,39,61,-22,a
13,,Lusitano VRSA,18,26,7,4,15,23,52,-29,a
14,,Boavista,14,26,4,6,16,35,89,-54,a
