,,,P,J,V,E,D,GM,GS,DG,
1,,Sporting,77,34,23,8,3,57,22,35,a
2,,FC Porto,73,34,22,7,5,66,26,40,a
3,,Benfica,69,34,21,6,7,58,33,25,a
4,,Boavista,55,34,16,7,11,40,31,9,a
5,,Gil Vicente,53,34,14,11,9,48,34,14,a
6,,Marítimo,50,34,13,11,10,42,36,6,a
7,,V. Guimarães,48,34,14,6,14,48,43,5,a
8,,Est. Amadora,45,34,10,15,9,40,35,5,a
9,,SC Braga,43,34,12,7,15,44,45,-1,a
10,,UD Leiria,42,34,10,12,12,31,35,-4,a
11,,FC Alverca,41,34,11,8,15,39,48,-9,a
12,,Belenenses,40,34,9,13,12,36,38,-2,a
13,,Campomaiorense,36,34,10,6,18,31,51,-20,a
14,,Farense,35,34,8,11,15,35,60,-25,a
15,,SC Salgueiros,34,34,9,7,18,30,49,-19,a
16,,Rio Ave,33,34,8,9,17,34,54,-20,a
17,,V. Setúbal,33,34,9,6,19,25,49,-24,a
18,,Santa Clara,31,34,7,10,17,35,50,-15,a
